Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","4624.88","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","5279.54","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","4954.46","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5566.03","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5790.56","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","9560.49","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","8529.07","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","9204","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","8822","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","9186","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","9776","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","8244.02","I","Imputed value","Imputed value"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","6712.05","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","6516.47","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","5496.04","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","4644.53","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","6297.22","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","6584.48","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","6334.74","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","7179.63","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","6479.24","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","6570.44","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","6245.92","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","6355.29","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","5940.6","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5667.46","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5575.94","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","2876","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","2747.25","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","2618.5","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","2489.75","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","2361","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","2232.25","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","2103.5","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","1974.75","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","1846","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","1717.25","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","1588.5","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","1459.75","I","Imputed value","Imputed value"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","1331","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","1196.27","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","1002.03","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","1541.93","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","3759.14","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","3383.04","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","5044.05","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","6660","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","4225.98","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","4481.58","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","2722.53","I","Imputed value","Imputed value"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","2616.17","I","Imputed value","Imputed value"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","2509.8","I","Imputed value","Imputed value"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","2403.44","I","Imputed value","Imputed value"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","2297.07","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","2183.95","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","2213.84","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","2079.22","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","2452.6","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","2134.99","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","1605.37","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","1682.32","I","Imputed value","Imputed value"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","1759.27","I","Imputed value","Imputed value"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","2006.44","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","2119.04","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","2310.93","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","1861.2","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","1577.41","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","1697.66","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","1563.81","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","1655.09","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","191","Croatia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","1469.65","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","745.22","I","Imputed value","Imputed value"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","864.51","I","Imputed value","Imputed value"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","1060.57","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","796.43","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","717.3","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","678.16","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","861.02","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","534.89","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","477.75","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","728.61","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","632.48","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","1324.62","A","Official figure","Official figure"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","1266.21","A","Official figure","Official figure"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","1119.52","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","1094.92","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","1056.71","A","Official figure","Official figure"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","1141.74","A","Official figure","Official figure"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","1162.69","A","Official figure","Official figure"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","1183.61","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","1230.77","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","1190.58","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","196","Cyprus","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","1104.02","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","4533.04","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","4649.12","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","4977.62","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","4590","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","5318.44","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","5384.76","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","5693.11","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","6194.49","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","5440","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","4759.9","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","4957.4","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","5306.06","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","5345.4","A","Official figure","Official figure"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","6188.56","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","5663.37","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","6310.84","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","5942.73","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","5248.38","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","5178.12","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","5052.76","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","4359.75","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","203","Czechia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","4479.84","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","3174","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","3311","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","2868","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","2954","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","2899","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","3246","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","3212","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","3336","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","4145","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","2836","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","3894","A","Official figure","Official figure"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","4549.75","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","5959.62","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","4197.1","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","1821.89","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","2583.75","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","2586.88","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","2706.11","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","2646.13","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","2660.87","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","3167.46","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","208","Denmark","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","2974.53","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","315","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","329","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","331","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","323","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","351","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","386","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","452","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","460","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","551","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","402","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","514","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","460","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","553","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","567.79","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","596.39","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","594.55","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","713.78","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","700.08","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","636.07","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","745.15","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","766.86","A","Official figure","Official figure"
"RP","Pesticides Use","233","Estonia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","885.92","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","3608.08","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","4077.46","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","4731.01","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","4735.83","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","4765.83","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","4956.24","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","5254.09","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","4064.95","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","3806.2","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","4804.83","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","3806.97","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","4043.94","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","4283.01","A","Official figure","Official figure"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","3274.71","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","3505.66","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","4009.55","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","4591.6","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","4365.91","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","4901.62","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","4034.15","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","246","Finland","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","4916.94","X","Figure from international organizations","Eurostat"
